id,name,latitude,longitude
515,W 43 St & 10 Ave,40.760094,-73.99462
516,E 47 St & 1 Ave,40.752068,-73.96784
517,E 41 St & Madison Ave,40.75149,-73.97978
518,E 39 St & 2 Ave,40.747803,-73.97344
519,E 42 St & Vanderbilt Ave,40.751873,-73.97837
520,W 52 St & 5 Ave,40.759922,-73.97649
521,8 Ave & W 31 St,40.75045,-73.99481
522,E 51 St & Lexington Ave,40.75715,-73.97208
523,W 38 St & 8 Ave,40.754665,-73.99138
524,W 43 St & 6 Ave,40.755272,-73.98317
525,W 34 St & 11 Ave,40.755,-74.00211
526,E 33 St & 5 Ave,40.747658,-73.98491
527,E 33 St & 1 Ave,40.743156,-73.97606
528,2 Ave & E 31 St,40.74291,-73.97706
529,W 42 St & 8 Ave,40.75757,-73.99098
530,11 Ave & W 59 St,40.771496,-73.99054
531,Forsyth St & Broome St,40.71894,-73.99266
532,S 5 Pl & S 4 St,40.71045,-73.96088
533,Broadway & W 38 St,40.752995,-73.98721
534,Water - Whitehall Plaza,40.70255,-74.012726
536,1 Ave & E 30 St,40.741444,-73.97536
537,Lexington Ave & E 24 St,40.740257,-73.98409
538,E 48 St & Madison Ave,40.75666,-73.977875
539,Metropolitan Ave & Bedford Ave,40.715347,-73.96024
540,Lexington Ave & E 26 St,40.741474,-73.98321
545,E 23 St & 1 Ave,40.736504,-73.978096
546,E 30 St & Park Ave S,40.74445,-73.98303
2000,Front St & Washington St,40.70255,-73.9894
2001,7 Ave & Farragut St,40.69892,-73.97993
2002,Wythe Ave & Metropolitan Ave,40.71689,-73.963196
2003,1 Ave & E 18 St,40.73381,-73.980545
2004,6 Ave & Broome St,40.7244,-74.00471
2005,Railroad Ave & Kay Ave,40.70531,-73.971
2006,Central Park S & 6 Ave,40.76591,-73.977
2008,Little West St & 1 Pl,40.705692,-74.01678
2009,Catherine St & Monroe St,40.711174,-73.996826
2010,Grand St & Greene St,40.721653,-74.00235
2012,E 27 St & 1 Ave,40.739445,-73.97681
2017,E 43 St & 2 Ave,40.750225,-73.971214
2021,W 45 St & 8 Ave,40.759293,-73.988594
2022,E 59 St & Sutton Pl,40.75849,-73.95922
2023,E 55 St & Lexington Ave,40.75968,-73.970314
2733,67 St & Erik Pl,40.62639,-74.01703
2782,5 Ave & 66 St,40.633404,-74.020386
2821,62 St & 7 Ave,40.575413,-74.023
2832,4 Ave & Shore Road Dr,40.63126,-74.02805
2861,57 St & 7 Ave,40.638382,-74.02615
2872,63 St & 5 Ave,40.63715,-74.01809
2883,3 Ave & Wakeman Pl,40.63337,-74.025566
2898,Cortelyou Rd & Stratford Rd,40.63913,-74.01594
2912,6 Ave & 60 St,40.63721,-74.01757
2923,62 St & 4 Ave,40.636955,-74.02219
2932,67 St & Ridge Blvd,40.63337,-74.03721
2951,55 St & 7 Ave,40.575413,-74.022125
2961,59 St & 5 Ave,40.63914,-74.02615
2971,64 St & 3 Ave,40.639412,-74.02364
2984,Cortelyou Rd & Argyle Rd,40.639515,-74.01603
3000,6 Ave & 55 St,40.63551,-74.015076
3002,South End Ave & Liberty St,40.711514,-74.015755
3007,Church Ave & Story St,40.638382,-74.02127
3011,59 St & 4 Ave,40.6349,-74.02307
3014,3969.TEMP (Bike The Branches - Central Branch),40.72285,-73.959114
3016,Kent Ave & N 7 St,40.720367,-73.96434
3017,NYCBS Depot - FAR,40.751484,-73.996765
3019,65 St & 2 Ave,40.64034,-74.03195
3020,NYCBS Test,40.646606,-74.01597
3022,Cortelyou Rd & E 19 St,40.637997,-74.01315
3034,Matthews Ct & Coney Island Ave,40.64135,-74.01184
3036,8D OPS 01,40.517975,-74.03137
3038,50 St & 7 Ave,40.641422,-74.020035
3039,NYCBS Depot - DYR,40.759087,-73.99375
3040,GOW Tech Shop,40.64668,-74.016266
3041,Kingston Ave & Herkimer St,40.678905,-73.94143
3042,Fulton St & Utica Ave,40.67943,-73.92989
3043,Lewis Ave & Decatur St,40.68146,-73.934906
3044,Albany Ave & Fulton St,40.68001,-73.93848
3046,E 3 St & Church Ave,40.63592,-74.02562
3047,Halsey St & Tompkins Ave,40.68237,-73.944115
3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977
3049,Cambridge Pl & Gates Ave,40.68488,-73.96304
3050,55 St & 5 Ave,40.64103,-74.01753
3052,Lewis Ave & Madison St,40.686314,-73.935776
3053,Marcy Ave & Lafayette Ave,40.690083,-73.947914
3054,Greene Ave & Throop Ave,40.689495,-73.94206
3055,Greene Ave & Nostrand Ave,40.688335,-73.95091
3056,12 Ave & 36 St,40.63656,-74.01322
3057,Kosciuszko St & Tompkins Ave,40.691284,-73.945244
3058,Lewis Ave & Kosciuszko St,40.69237,-73.93706
3059,Pulaski St & Marcus Garvey Blvd,40.693398,-73.93988
3060,Willoughby Ave & Tompkins Ave,40.694256,-73.946266
3061,Throop Ave & Myrtle Ave,40.696228,-73.94371
3062,Myrtle Ave & Marcy Ave,40.695,-73.95
3063,Nostrand Ave & Myrtle Ave,40.69527,-73.95238
3064,Myrtle Ave & Lewis Ave,40.69682,-73.93757
3065,Union Ave & Wallabout St,40.700294,-73.950325
3066,Tompkins Ave & Hopkins St,40.699577,-73.94708
3067,Broadway & Whipple St,40.701664,-73.94373
3068,Humboldt St & Varet St,40.70317,-73.940636
3069,Lorimer St & Broadway,40.704117,-73.94819
3070,E 16 St & Cortelyou Rd,40.60525,-74.01186
3071,Boerum St & Broadway,40.70538,-73.94977
3072,Leonard St & Boerum St,40.705833,-73.94645
3073,Division Ave & Hooper St,40.706913,-73.954414
3074,Montrose Ave & Bushwick Ave,40.70768,-73.94016
3075,Division Ave & Marcy Ave,40.70709,-73.95797
3076,Scholes St & Manhattan Ave,40.708702,-73.94486
3077,Stagg St & Union Ave,40.70877,-73.95095
3078,Broadway & Roebling St,40.709248,-73.96063
